key,name,panels,name_regex,domains
cloro,cloro,serp-api;llm-scraping;ai-tracking-api,cloro(?:\.dev)?,cloro.dev;cloro.us;cloro.mintlify.app
serpapi,SerpApi,serp-api;llm-scraping,serpapi(?:\.com)?,serpapi.com
dataforseo,DataForSEO,serp-api;llm-scraping,dataforseo(?:\.com)?,dataforseo.com
serper,Serper,serp-api,serper(?:\.dev)?,serper.dev
brightdata,Bright Data,serp-api;llm-scraping,bright\s?data,brightdata.com;brightdata.de;brightdata.es;brightdata.jp;brightdata.com.br;brightdata.co.kr;brightdata.mintlify.app
oxylabs,Oxylabs,serp-api;llm-scraping,oxylabs,oxylabs.io;oxylabs.cn
searchapi,SearchApi.io,serp-api;llm-scraping,searchapi(?:\.io)?,searchapi.io
scrapingdog,Scrapingdog,serp-api;llm-scraping,scrapingdog,scrapingdog.com
scrapingbee,ScrapingBee,serp-api;llm-scraping,scrapingbee,scrapingbee.com
scraperapi,ScraperAPI,serp-api;llm-scraping,scraperapi|(?-i:Scraper API),scraperapi.com;scraperapi.io
scrapfly,Scrapfly,serp-api;llm-scraping,scrapfly,scrapfly.io
apify,Apify,serp-api;llm-scraping,apify,apify.com;use-apify.com
firecrawl,Firecrawl,serp-api;llm-scraping,firecrawl,firecrawl.dev
nimble,Nimble,serp-api;llm-scraping,(?-i:Nimble)(?:way)?,nimbleway.com
octoparse,Octoparse,serp-api;llm-scraping,octoparse,octoparse.com
olostep,Olostep,serp-api,olostep,olostep.com
serpentapi,SerpentAPI,serp-api;llm-scraping,serpent\s?api,serpentapi.com;apiserpent.com
scrapebadger,ScrapeBadger,serp-api;llm-scraping,scrape\s?badger,scrapebadger.com
serpbase,SerpBase,serp-api,serpbase(?:\.dev)?,serpbase.dev
openwebninja,OpenWeb Ninja,serp-api,open\s?web\s?ninja,openwebninja.com
scrapecreators,ScrapeCreators,serp-api,scrape\s?creators,scrapecreators.com
airefs,Airefs,serp-api;llm-scraping,airefs,getairefs.com
crawlbase,Crawlbase,llm-scraping,crawlbase,crawlbase.com
scrapedo,Scrape.do,llm-scraping,scrape\.?do,scrape.do
profound,Profound,ai-tracking-api,(?-i:Profound)|tryprofound,tryprofound.com;profound.com
peec,Peec,ai-tracking-api,peec(?:\.ai)?,peec.ai
otterly,Otterly.AI,ai-tracking-api,otterly(?:\.ai)?,otterly.ai
llmpulse,LLM Pulse,ai-tracking-api,llm\s?pulse,llmpulse.ai
siftly,Siftly,ai-tracking-api,siftly(?:\.ai)?,siftly.ai
mentionsapi,MentionsAPI,ai-tracking-api,mentions\s?api,mentionsapi.com
demandsphere,DemandSphere,ai-tracking-api,demand\s?sphere,demandsphere.com
prominenceai,Prominence AI,ai-tracking-api,prominence\s?ai,prominenceai.io
geneo,Geneo,ai-tracking-api,geneo,geneo.app
scrunch,Scrunch AI,ai-tracking-api,scrunch(?:\s?ai)?,scrunch.com;scrunchai.com
rankscale,Rankscale,ai-tracking-api,rank\s?scale,rankscale.ai
evertune,Evertune,ai-tracking-api,evertune(?:\.ai)?,evertune.ai
deepsmith,DeepSmith,ai-tracking-api,deep\s?smith,deepsmith.ai
foglift,Foglift,ai-tracking-api,foglift,foglift.io
writesonic,Writesonic,ai-tracking-api,writesonic,writesonic.com
rankprompt,RankPrompt,ai-tracking-api,rank\s?prompt,rankprompt.com
