motion,topic,size,mean
ai-tracking-api,sentinel,98,78.6%
ai-tracking-api,geography,99,71.7%
ai-tracking-api,provider-selection,149,57.0%
ai-tracking-api,engine-coverage,246,50.4%
ai-tracking-api,scale-sla,149,50.3%
ai-tracking-api,competitive,148,50.0%
ai-tracking-api,data-access,99,48.5%
ai-tracking-api,build-your-own,399,41.4%
ai-tracking-api,pricing,197,41.1%
ai-tracking-api,source-attribution,147,36.1%
ai-tracking-api,accuracy,246,27.6%
ai-tracking-api,alerting,149,20.8%
ai-tracking-api,citation-extraction,148,19.6%
ai-tracking-api,agent-analytics,97,18.6%
ai-tracking-api,metrics-methodology,345,9.6%
ai-tracking-api,brand-perception,49,8.2%
ai-tracking-api,optimization,146,4.1%
ai-tracking-api,prompt-design,97,2.1%
llm-scraping,vendor-trust,100,94.0%
llm-scraping,provider-selection,248,75.8%
llm-scraping,scale-sla,99,69.7%
llm-scraping,migration,149,65.8%
llm-scraping,ai-overview,248,59.3%
llm-scraping,google-news,198,54.0%
llm-scraping,ai-mode,195,53.3%
llm-scraping,pricing,98,38.8%
llm-scraping,build-vs-buy,246,34.1%
llm-scraping,copilot,99,24.2%
llm-scraping,anti-bot,98,21.4%
llm-scraping,gemini,98,15.3%
llm-scraping,compliance,99,13.1%
llm-scraping,other-engines,99,11.1%
llm-scraping,chatgpt,298,9.1%
llm-scraping,perplexity,97,2.1%
llm-scraping,claude,50,0.0%
llm-scraping,multi-engine,49,0.0%
llm-scraping,output-shape,50,0.0%
llm-scraping,use-case,98,0.0%
serp-api,feature-coverage,193,96.4%
serp-api,provider-selection,195,95.4%
serp-api,output-shape,97,94.8%
serp-api,vendor-trust,99,93.9%
serp-api,engine-breadth,149,91.9%
serp-api,pricing,296,91.2%
serp-api,scale-sla,198,90.9%
serp-api,use-case,197,90.4%
serp-api,integration,147,88.4%
serp-api,migration,248,87.9%
serp-api,freshness,148,85.8%
serp-api,anti-bot,148,75.7%
serp-api,accuracy,99,69.7%
serp-api,compliance,148,68.9%
serp-api,agent-tooling,148,58.8%
serp-api,build-vs-buy,150,25.3%
