motion,engine,brand,n,visibility,top1_rate,top1_clean,avg_pos,cited_rate,listed_rate,named_share,name,rank_vis,rank_top1
ai-tracking-api,AIMODE,amicited,609.0,0.0016,0.0,0.0,3.0,0.0296,0.0016,0.0,AmICited,14,13
ai-tracking-api,AIMODE,ayzeo,609.0,0.0099,0.0,0.0,3.1666666666666665,0.0213,0.0082,0.0,Ayzeo,13,13
ai-tracking-api,AIMODE,cloro,609.0,0.0131,0.0082,0.0082,2.25,0.0542,0.0066,0.0,cloro,12,8
ai-tracking-api,AIMODE,deepsmith,609.0,0.0,0.0,0.0,,0.0066,0.0,0.0,DeepSmith,16,13
ai-tracking-api,AIMODE,demandsphere,609.0,0.0197,0.0016,0.0016,3.4166666666666665,0.0263,0.0148,0.0,DemandSphere,11,12
ai-tracking-api,AIMODE,evertune,609.0,0.0246,0.0049,0.0049,2.8,0.0279,0.0164,0.0,Evertune,10,10
ai-tracking-api,AIMODE,foglift,609.0,0.0,0.0,0.0,,0.0033,0.0,0.0,Foglift,16,13
ai-tracking-api,AIMODE,geneo,609.0,0.0,0.0,0.0,,0.0099,0.0,0.0,Geneo,16,13
ai-tracking-api,AIMODE,llmpulse,609.0,0.0542,0.0213,0.0213,2.1515151515151514,0.1248,0.0361,0.0,LLM Pulse,5,3
ai-tracking-api,AIMODE,mentionsapi,609.0,0.0378,0.0131,0.0131,2.8260869565217392,0.0213,0.0296,0.0,MentionsAPI,7,6
ai-tracking-api,AIMODE,otterly,609.0,0.1593,0.0312,0.0312,2.731958762886598,0.1494,0.1084,0.0,Otterly.AI,3,2
ai-tracking-api,AIMODE,peec,609.0,0.1839,0.0197,0.0197,3.0,0.0542,0.1264,0.0,Peec,2,5
ai-tracking-api,AIMODE,profound,609.0,0.3218,0.1905,0.1905,1.8214285714285714,0.1741,0.2118,0.0,Profound,1,1
ai-tracking-api,AIMODE,prominenceai,609.0,0.0,0.0,0.0,,0.0,0.0,0.0,Prominence AI,16,13
ai-tracking-api,AIMODE,rankprompt,609.0,0.0296,0.0213,0.0213,1.5,0.0509,0.0279,0.0,RankPrompt,8,3
ai-tracking-api,AIMODE,rankscale,609.0,0.046,0.0099,0.0099,2.7142857142857144,0.0164,0.0394,0.0,Rankscale,6,7
ai-tracking-api,AIMODE,scrunch,609.0,0.0558,0.0033,0.0033,2.8529411764705883,0.0263,0.0443,0.0,Scrunch AI,4,11
ai-tracking-api,AIMODE,siftly,609.0,0.0296,0.0066,0.0066,3.0,0.0755,0.0246,0.0,Siftly,8,9
