motion,brand,n,visibility,top1_rate,top1_clean,avg_pos,cited_rate,listed_rate,named_share,name,rank_vis
ai-tracking-api,amicited,3008.0,0.0037,0.001,0.001,2.4545454545454546,0.0349,0.0017,0.0,AmICited,17
ai-tracking-api,ayzeo,3008.0,0.005,0.001,0.001,3.0,0.0163,0.0043,0.0,Ayzeo,16
ai-tracking-api,cloro,3008.0,0.0286,0.0153,0.0153,1.9186046511627908,0.0791,0.0243,0.0,cloro,6
ai-tracking-api,deepsmith,3008.0,0.0037,0.0003,0.0003,3.4545454545454546,0.0236,0.0023,0.0,DeepSmith,17
ai-tracking-api,demandsphere,3008.0,0.0123,0.003,0.003,2.4594594594594597,0.0196,0.011,0.0,DemandSphere,12
ai-tracking-api,evertune,3008.0,0.0203,0.0033,0.0033,2.7704918032786887,0.0183,0.014,0.0,Evertune,9
ai-tracking-api,foglift,3008.0,0.0076,0.0033,0.0033,2.0,0.0273,0.004,0.0,Foglift,14
ai-tracking-api,geneo,3008.0,0.0027,0.0003,0.0003,2.25,0.0123,0.0027,0.0,Geneo,19
ai-tracking-api,llmpulse,3008.0,0.0399,0.0153,0.0153,2.1166666666666667,0.1041,0.0319,0.0,LLM Pulse,5
ai-tracking-api,mentionsapi,3008.0,0.0189,0.0083,0.0083,2.280701754385965,0.0309,0.017,0.0,MentionsAPI,11
ai-tracking-api,otterly,3008.0,0.1154,0.0279,0.0279,2.723342939481268,0.0795,0.0858,0.0,Otterly.AI,3
ai-tracking-api,peec,3008.0,0.12,0.0116,0.0116,2.9445983379501386,0.0266,0.0941,0.0,Peec,2
ai-tracking-api,profound,3008.0,0.2121,0.1041,0.1041,2.0250783699059562,0.0957,0.1606,0.0,Profound,1
ai-tracking-api,prominenceai,3008.0,0.007,0.0027,0.0027,1.9523809523809523,0.0103,0.007,0.0,Prominence AI,15
ai-tracking-api,rankprompt,3008.0,0.0199,0.0136,0.0136,1.6166666666666667,0.0243,0.0189,0.0,RankPrompt,10
ai-tracking-api,rankscale,3008.0,0.0209,0.0037,0.0037,3.0317460317460316,0.0073,0.0176,0.0,Rankscale,8
ai-tracking-api,scrunch,3008.0,0.0479,0.0027,0.0027,3.125,0.0239,0.0379,0.0,Scrunch AI,4
ai-tracking-api,siftly,3008.0,0.0236,0.0073,0.0073,2.211267605633803,0.0549,0.0166,0.0,Siftly,7
ai-tracking-api,writesonic,3008.0,0.009,0.0003,0.0003,3.2962962962962963,0.0223,0.008,0.0,Writesonic,13
llm-scraping,airefs,2716.0,0.0,0.0,0.0,,0.025,0.0,0.0,Airefs,19
llm-scraping,apify,2716.0,0.1738,0.0254,0.0096,3.4978813559322033,0.1267,0.1392,0.018,Apify,2
llm-scraping,brightdata,2716.0,0.2077,0.0851,0.0685,2.608156028368794,0.1841,0.1576,0.0184,Bright Data,1
llm-scraping,cloro,2716.0,0.0622,0.0206,0.0206,3.195266272189349,0.1664,0.0482,0.0,cloro,9
llm-scraping,crawlbase,2716.0,0.0066,0.0011,0.0011,3.2777777777777777,0.0191,0.0059,0.0,Crawlbase,18
llm-scraping,dataforseo,2716.0,0.0729,0.0133,0.0133,2.707070707070707,0.0501,0.0589,0.0,DataForSEO,7
llm-scraping,firecrawl,2716.0,0.1649,0.0578,0.0578,2.4575892857142856,0.1318,0.1388,0.0,Firecrawl,3
llm-scraping,nimble,2716.0,0.0074,0.0022,0.0022,2.25,0.0416,0.0052,0.0,Nimble,16
llm-scraping,octoparse,2716.0,0.0206,0.0004,0.0004,5.321428571428571,0.0608,0.0173,0.0,Octoparse,13
llm-scraping,oxylabs,2716.0,0.0994,0.0063,0.0063,4.018518518518518,0.0475,0.0803,0.0,Oxylabs,5
llm-scraping,scrapebadger,2716.0,0.0099,0.0015,0.0015,3.4074074074074074,0.0527,0.0063,0.0,ScrapeBadger,15
llm-scraping,scrapedo,2716.0,0.0272,0.0007,0.0007,4.527027027027027,0.0685,0.0184,0.0,Scrape.do,11
llm-scraping,scraperapi,2716.0,0.0707,0.007,0.007,3.8645833333333335,0.025,0.0512,0.0,ScraperAPI,8
llm-scraping,scrapfly,2716.0,0.0203,0.0004,0.0004,4.781818181818182,0.0497,0.0191,0.0,Scrapfly,14
llm-scraping,scrapingbee,2716.0,0.0792,0.0066,0.0066,4.372093023255814,0.0758,0.0663,0.0,ScrapingBee,6
llm-scraping,scrapingdog,2716.0,0.025,0.0,0.0,4.5588235294117645,0.028,0.0214,0.0,Scrapingdog,12
llm-scraping,searchapi,2716.0,0.0276,0.0081,0.0081,2.0933333333333333,0.067,0.0236,0.0,SearchApi.io,10
llm-scraping,serpapi,2716.0,0.1355,0.0935,0.0935,1.7771739130434783,0.1237,0.109,0.0,SerpApi,4
llm-scraping,serpentapi,2716.0,0.0074,0.0004,0.0004,4.2,0.0306,0.0037,0.0,SerpentAPI,16
serp-api,airefs,2660.0,0.0015,0.0004,0.0004,4.25,0.1105,0.0,0.0,Airefs,21
serp-api,apify,2660.0,0.0624,0.0,0.0,5.927710843373494,0.0549,0.0553,0.0,Apify,10
serp-api,brightdata,2660.0,0.3868,0.0752,0.0583,3.259475218658892,0.2372,0.3177,0.0184,Bright Data,3
serp-api,cloro,2660.0,0.0455,0.0071,0.0071,4.347107438016529,0.2977,0.0312,0.0,cloro,13
serp-api,dataforseo,2660.0,0.5353,0.1504,0.1316,2.515449438202247,0.2639,0.4346,0.0188,DataForSEO,2
serp-api,firecrawl,2660.0,0.0481,0.0026,0.0026,4.6484375,0.0714,0.0444,0.0,Firecrawl,11
serp-api,nimble,2660.0,0.0015,0.0,0.0,5.5,0.0162,0.0011,0.0,Nimble,21
serp-api,octoparse,2660.0,0.0154,0.0008,0.0008,3.8048780487804876,0.1049,0.0083,0.0,Octoparse,17
serp-api,olostep,2660.0,0.0041,0.0,0.0,6.090909090909091,0.097,0.0019,0.0,Olostep,20
serp-api,openwebninja,2660.0,0.0335,0.0015,0.0015,5.49438202247191,0.1504,0.0259,0.0,OpenWeb Ninja,15
serp-api,oxylabs,2660.0,0.1914,0.0132,0.0132,4.2907662082514735,0.0436,0.165,0.0,Oxylabs,5
serp-api,scrapebadger,2660.0,0.0053,0.0,0.0,4.5,0.0504,0.003,0.0,ScrapeBadger,19
serp-api,scrapecreators,2660.0,0.0139,0.0004,0.0004,6.243243243243243,0.1677,0.006,0.0,ScrapeCreators,18
serp-api,scraperapi,2660.0,0.1132,0.0019,0.0019,4.903654485049834,0.0575,0.0932,0.0,ScraperAPI,8
serp-api,scrapfly,2660.0,0.0289,0.0008,0.0008,4.623376623376624,0.0808,0.0259,0.0,Scrapfly,16
serp-api,scrapingbee,2660.0,0.0477,0.0015,0.0015,4.692913385826771,0.0752,0.0372,0.0,ScrapingBee,12
